experiment,system,plant_no,target_total_weight_g,harvest_plant_height_cm,harvest_shoot_weight_g,harvest_root_weight_g,harvest_root_length_cm,harvest_no_of_leaves,head_diameter_average_cm,canopy_area_cm2,replicate,water_ph_mean,water_ph_min,water_ph_max,water_ph_std,water_ec_mean,water_ec_min,water_ec_max,water_ec_std,water_tds_mean,water_tds_min,water_tds_max,water_tds_std,water_water_temperature_mean,water_water_temperature_min,water_water_temperature_max,water_water_temperature_std,total_nutrient_solution_added_ml,total_water_consumption_l,total_acid_consumption_ml,env_air_temperature_mean,env_air_temperature_min,env_air_temperature_max,env_air_temperature_std,env_humidity_mean,env_humidity_min,env_humidity_max,env_humidity_std,env_co2_mean,env_co2_min,env_co2_max,env_co2_std,initial_height_mean_cm,initial_weight_mean_g,initial_root_length_mean_cm
Experiment 1,R1-T3,9,241.0,54.0,200.0,33.0,41.0,26.0,27.5,756.0,R1,6.002631578947369,5.3,6.9,0.408776635768409,1.8276315789473685,1.29,2.03,0.17874466073036188,0.8080487804878049,0.0,1.015,0.31199569659473625,24.30526315789474,18.9,28.1,1.9266752612536628,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T3,10,207.0,57.0,173.0,24.0,46.0,20.0,26.0,676.0,R1,6.002631578947369,5.3,6.9,0.408776635768409,1.8276315789473685,1.29,2.03,0.17874466073036188,0.8080487804878049,0.0,1.015,0.31199569659473625,24.30526315789474,18.9,28.1,1.9266752612536628,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T3,11,232.0,70.0,190.0,33.0,58.0,32.0,28.0,784.0,R1,6.002631578947369,5.3,6.9,0.408776635768409,1.8276315789473685,1.29,2.03,0.17874466073036188,0.8080487804878049,0.0,1.015,0.31199569659473625,24.30526315789474,18.9,28.1,1.9266752612536628,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T3,12,174.0,64.0,140.0,24.0,52.0,18.0,24.0,576.0,R1,6.002631578947369,5.3,6.9,0.408776635768409,1.8276315789473685,1.29,2.03,0.17874466073036188,0.8080487804878049,0.0,1.015,0.31199569659473625,24.30526315789474,18.9,28.1,1.9266752612536628,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R2-T1,1,207.0,71.0,177.0,21.0,56.0,22.0,25.0,624.0,R2,5.805263157894736,5.0,6.8,0.47180915433715725,1.831052631578947,1.51,1.98,0.11261928117811261,0.8035365853658537,0.0,0.99,0.30428092744674695,24.971052631578942,18.6,29.5,2.246741253546525,374.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R2-T1,2,264.0,59.0,155.0,99.0,43.0,21.0,27.0,729.0,R2,5.805263157894736,5.0,6.8,0.47180915433715725,1.831052631578947,1.51,1.98,0.11261928117811261,0.8035365853658537,0.0,0.99,0.30428092744674695,24.971052631578942,18.6,29.5,2.246741253546525,374.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R2-T1,3,250.0,63.0,221.0,15.0,49.0,22.0,28.5,812.0,R2,5.805263157894736,5.0,6.8,0.47180915433715725,1.831052631578947,1.51,1.98,0.11261928117811261,0.8035365853658537,0.0,0.99,0.30428092744674695,24.971052631578942,18.6,29.5,2.246741253546525,374.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R2-T1,4,275.0,56.0,173.0,72.0,40.0,23.0,28.0,784.0,R2,5.805263157894736,5.0,6.8,0.47180915433715725,1.831052631578947,1.51,1.98,0.11261928117811261,0.8035365853658537,0.0,0.99,0.30428092744674695,24.971052631578942,18.6,29.5,2.246741253546525,374.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R2-T1,5,220.0,64.0,165.0,49.0,48.5,29.0,28.5,812.0,R2,5.805263157894736,5.0,6.8,0.47180915433715725,1.831052631578947,1.51,1.98,0.11261928117811261,0.8035365853658537,0.0,0.99,0.30428092744674695,24.971052631578942,18.6,29.5,2.246741253546525,374.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R2-T1,6,250.0,57.0,216.0,28.0,43.0,26.0,28.5,812.0,R2,5.805263157894736,5.0,6.8,0.47180915433715725,1.831052631578947,1.51,1.98,0.11261928117811261,0.8035365853658537,0.0,0.99,0.30428092744674695,24.971052631578942,18.6,29.5,2.246741253546525,374.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
